status,city,year,state,total_tract_income,total_households_with_income,percent_householdsbelow50k_of_total,total_households_income_below_50k,total_households_income_50k_and_100k,total_households_income_100k_plus,bucket_annual_income_household,median_annual_income_individual,total_housing_units,occupied_housing_units,vacant_housing_units,median_monthly_housing_costs,total_households,total_rent_burden_normal,total_rent_burden_moderate,total_rent_burden_severe,percent_rent_burden_normal,percent_rent_burden_moderate,percent_rent_burden_severe,median_gross_rent_burden,avg_household_size,total_25_and_older,total_highest_not_graduate_hs,total_highest_graduate_hs,total_highest_college_degree,percent_graduate_hs,percent_no_college_degree,percent_college_degree,total_3_to_24,total_enrolled_pre_college,total_enrolled_higher_education,total_not_enrolled,total_employable,total_employed,complete_plumbing_occupied_housing,lacking_plumbing_occupied_housing,total_all_races,total_white_non_hispanic,total_african_american,total_native_american,total_asian,total_hispanic,total_other,percent_african_american,percent_native_american,percent_hispanic,percent_urm,total_all_ages,total_0_4,total_5_17,total_18_24,total_25_39,total_40_54,total_55_64,total_65_plus,total_population,percent_0_4,percent_5_17,percent_18_24,percent_children,percent_youth,percent_elderly
banked,Rochester,2019,MN,4.85E+09,50029,13.68065416,16764,15919,17346,2053513,1083730,52722,50029,2693,30263,15416,7890,3048,3630,54.15980231,20.92257002,24.91762768,803.1,66.41,83330,4959,31011,47360,37.21468859,43.16572663,56.83427337,34301,22565,3613,902,12712,6614,5710,0,15867,13539,808,35,181,928,376,5.092329993,0.2205836012,5.848616626,11.16153022,15867,789,2594,997,2663,2602,2264,3958,122538,4.97258461,16.34839604,6.283481439,21.32098065,27.60446209,3.230018443
underbanked,Chapel Hill,2019,NC,5.66E+09,44981,12.66024157,15041,11010,18930,1783741,839406,48644,44981,3663,28708,17148,8055,3562,4524,49.90397125,22.06802553,28.02800322,709.6,56.52,73652,3422,15100,55130,20.50181937,25.14799327,74.85200673,41764,18077,19467,190,3958,2392,1958,0,5164,4649,15,107,124,208,61,0.2904725019,2.07203718,4.02788536,6.390395043,5164,304,1038,262,726,1045,729,1060,118805,5.886909373,20.10069713,5.073586367,25.98760651,31.06119287,0.892218341
underbanked,El Monte,2019,CA,2.07E+09,29811,13.11281546,15302,9674,4835,1221771,521466,31086,29811,1275,32225,17956,6079,5180,6008,35.20588406,29.99942086,34.79469508,958.3,97.3,77195,31988,31418,13789,40.69952717,82.13744413,17.86255587,35653,22458,5282,3283,44892,33698,23669,18,55045,27703,12793,1427,2993,6872,3257,23.24098465,2.59242438,12.484331,38.31774003,55045,3506,7988,5288,16223,10487,6139,5414,116695,6.369334181,14.5117631,9.606685439,20.88109728,30.48778272,4.639444706
underbanked,Bowling Green,2019,KY,3.31E+09,42311,17.6977103,19957,13201,9153,1107284,568776,46413,42311,4102,18141,17513,9214,3291,3811,56.47217455,20.1703849,23.35744055,558.3,51.16,67792,7504,31223,29065,46.05705688,57.12620958,42.87379042,40989,19224,12875,637,3683,2917,1841,20,4686,3899,141,143,93,139,271,3.008962868,3.051643192,2.966282544,9.026888604,4686,285,903,891,1053,732,454,368,112766,6.081946223,19.27016645,19.01408451,25.35211268,44.36619718,0.3263394995
underbanked,Chico,2019,CA,3.46E+09,41638,17.5334978,19118,11424,11096,1308820,627903,46124,41638,4486,27376,21573,8289,5264,6963,40.4026126,25.65802301,33.9393644,846.4,58.5,65624,4985,28975,31664,44.15305376,51.74935999,48.25064001,39751,16687,15294,120,2094,1263,1084,4,2455,1932,0,118,76,114,215,0,4.806517312,4.643584521,9.450101833,2455,89,280,211,411,357,424,683,109037,3.625254582,11.40529532,8.594704684,15.0305499,23.62525458,0.6263928758
underbanked,Cleveland,2019,TN,2.82E+09,40192,18.60537688,19675,12665,7852,930379,480660,43736,40192,3544,15281,13850,6762,3115,2472,54.75747024,25.22471455,20.01781521,563.3,47.67,72026,10570,39321,22135,54.59278594,69.2680421,30.7319579,30110,18259,5384,347,4504,2751,2184,3,5825,4756,16,643,15,45,350,0.2746781116,11.03862661,0.7725321888,12.08583691,5825,368,1150,415,930,1024,800,1138,105749,6.317596567,19.74248927,7.124463519,26.06008584,33.18454936,1.076133108
underbanked,Davenport,2019,IA,3.06E+09,41555,19.08228567,20157,13013,8385,1661656,954406,46528,41555,4973,27591,15314,7073,3642,3575,49.49615115,25.48635409,25.01749475,999,78.53,71199,6754,38660,25785,54.29851543,63.78460372,36.21539628,30554,18952,4025,112,3461,2116,1890,0,4152,3792,89,0,51,54,166,2.143545279,0,1.300578035,3.444123314,4152,292,475,166,848,721,608,1042,105632,7.032755299,11.44026975,3.998073218,18.47302505,22.47109827,0.986443502
banked,Burbank,2019,CA,4.52E+09,42356,13.49992425,14257,12316,15783,1957643,936157,44468,42356,2112,45523,24558,10308,5707,7361,44.09650924,24.41392882,31.48956194,779.9,61.59,78099,6450,31573,40076,40.42689407,48.68564258,51.31435742,24144,15486,4530,6981,90008,58043,38655,198,115111,54096,25486,328,3162,21669,10370,22.14036886,0.28494236,18.82443902,41.24975024,115111,7227,21163,8473,22793,24626,13560,17269,105608,6.278287913,18.38486331,7.360721391,24.66315122,32.02387261,16.35198091
underbanked,Appleton,2019,WI,3.47E+09,42150,16.41274304,17161,14200,10789,1681671,878914,43962,42150,1812,25236,14547,8135,3284,2505,58.42430336,23.58517667,17.99051997,692.1,63.69,70254,4287,34339,31628,48.87835568,54.98049933,45.01950067,30375,19665,3680,2330,56913,33149,20172,6,62316,45939,3850,151,7159,2198,3019,6.178188587,0.2423133706,3.52718403,9.947685988,62316,1754,4652,30953,8896,5446,4205,6410,104559,2.814686437,7.465177483,49.67103152,10.27986392,59.95089544,6.130510047
underbanked,Champaign,2019,IL,3.26E+09,40704,19.36965613,19777,10829,10098,1191643,660732,45632,40704,4928,22511,21803,9119,4467,5687,47.31489649,23.17750221,29.50760131,731.5,51.94,57658,2875,21149,33634,36.68007909,41.66637761,58.33362239,41343,13128,21380,146,3024,1624,1335,28,3535,2288,22,0,195,994,36,0.6223479491,0,28.11881188,28.74115983,3535,271,263,201,661,611,588,940,102103,7.666195191,7.439886846,5.685997171,15.10608204,20.79207921,0.9206389626
